id,email,first_name,last_name,registration_date,total_spent,risk_score,address,phone,date_of_birth,preferred_payment,loyalty_tier
50,fcook@example.org,Denise,Tyler,2024-07-26,4695.66,0.21,"Unit 1148 Box 6267, DPO AA 16269",(631)975-5592x897,1997-04-12,apple_pay,gold
51,oscott@example.com,Michael,Gordon,2025-06-02,548.07,0.84,"USS Mcintyre, FPO AE 74651",+1-865-551-5641x967,2004-08-11,paypal,bronze
52,fosterjames@example.org,James,Kent,2025-06-02,93.93,0.92,"6680 Graham Square, North Lindahaven, AZ 36492",659-572-2422,1944-12-06,google_pay,bronze
53,robersonmatthew@example.org,Marvin,Harris,2024-07-11,4057.6,0.3,"0967 Velazquez Views, Schultzberg, NM 18331",835.286.6715x544,1947-06-14,paypal,bronze
54,claire11@example.net,Luke,Taylor,2025-04-08,1064.7,0.13,"7285 George Corner Suite 538, Port Andrew, NM 60006",,1965-11-07,credit_card,bronze
55,qwhite@example.org,Cody,Parker,2025-02-28,31663.88,0.07,"991 Stephen Landing, Caseyshire, TX 90677",+1-256-978-4460x789,1961-11-22,bank_transfer,platinum
56,jamie16@example.com,Lauren,Thompson,2024-10-04,42463.29,0.08,"070 Nguyen Stream Suite 343, Herrerafort, CT 44578",+1-882-783-8597x477,1998-08-03,credit_card,gold
57,greerjoseph@example.net,Charles,Kline,2023-09-13,3164.21,0.19,"011 Schneider Mountain, Trevinoport, RI 34950",9769341535,1959-07-26,credit_card,bronze
58,wanderson@example.com,Carla,Wall,2023-12-11,3934.97,0.07,"3952 Michelle Plain Suite 558, Port Kimberlyshire, WY 45591",885.764.1354x741,1975-01-14,credit_card,silver
59,valdezrichard@example.org,Jay,Mcmillan,2024-02-22,3420.07,0.19,"147 Le Valley Apt. 418, Jennifershire, MA 05971",341.636.2334x70407,1977-01-24,apple_pay,silver
60,djohnson@example.org,Kara,Diaz,2024-03-01,1242.25,0.2,"067 Andrews Overpass Suite 928, Leeville, MO 92727",296.210.1759,1954-04-03,apple_pay,gold
61,elizabethtownsend@example.net,Cassandra,Bartlett,2025-01-14,4411.7,0.2,"88341 Jerry Key, Port Jamestown, CA 36166",(276)935-3673x55896,1956-05-12,google_pay,silver
62,suspicious62@fake-email.net,Travis,Collins,2024-01-15,1708.15,0.1,"123 Fake St, Nowhere, XX 00000",,2000-01-01,paypal,bronze
63,rsullivan@example.org,Jasmine,Marsh,2024-08-24,4531.41,0.08,"0825 Stacy Skyway, Youngfort, AS 78003",779-867-1480x30073,2004-01-06,apple_pay,gold
64,lpatterson@example.org,Joshua,Melendez,2022-11-04,13366.55,0.02,"789 Megan Valleys, Phillipmouth, NV 35117",422-832-1425,1984-01-22,bank_transfer,gold
65,nicholasfuentes@example.com,Sheila,Green,2024-10-26,1624.82,0.27,"819 Sean Stravenue, Palmerville, ND 37130",211-781-8513x6738,1998-09-21,bank_transfer,bronze
66,anthonyjones@example.net,Kimberly,Mora,2024-10-04,4854.33,0.18,"54011 Scott Plains, South Alexander, AL 67106",,1974-10-07,google_pay,gold
67,kwilliams@example.org,Jeremy,Wilcox,2023-10-29,43641.6,0.05,"72048 Hoffman Shoals, Dakotafurt, GU 75776",(976)318-3762x95076,1958-06-06,credit_card,gold
68,destiny64@example.net,Andrea,Mclaughlin,2025-06-02,683.1,0.83,"Unit 7034 Box 2519, DPO AA 89980",(674)219-9160x53906,1947-10-07,bank_transfer,bronze
69,lopezvictoria@example.org,Donald,Cameron,2024-03-01,3118.91,0.15,"252 Flynn Dam Apt. 169, New Jeanmouth, MN 36722",001-567-307-4215,1976-10-29,apple_pay,bronze
70,kendrarichardson@example.org,Kathy,Hernandez,2024-08-16,1175.09,0.05,"PSC 6935, Box 1021, APO AA 06672",001-684-739-1065x73517,2001-08-01,apple_pay,bronze
71,christopherrivera@example.net,Jesse,Walters,2024-07-03,3699.47,0.29,"56870 Jones Glen, Smithland, MO 33710",+1-397-999-0359x7177,1978-06-30,credit_card,silver
72,jason76@example.net,Matthew,Chan,2024-07-12,1877.8,0.07,"317 Bradley Fork Apt. 496, Cookfort, MH 35107",518-676-7760x064,2007-01-28,google_pay,bronze
73,penny09@example.com,Robert,Murray,2024-01-09,4572.27,0.14,"476 Daniel Center Suite 976, Nicolestad, LA 88792",001-973-218-1560x542,1991-03-29,bank_transfer,bronze
74,yhernandez@example.net,Megan,Gray,2024-06-10,3622.3,0.13,"USCGC Rice, FPO AA 97709",001-234-685-4039,1970-09-07,bank_transfer,gold
75,sandrafinley@example.net,Christopher,Potts,2024-08-06,4562.18,0.06,"962 Walker Mountain, Lake Lindsey, NV 09644",(713)982-6870x97777,1986-08-20,bank_transfer,gold
76,david89@example.com,Terri,Zimmerman,2024-12-08,4686.96,0.13,"23993 Ramirez Brooks, Olsentown, MP 50026",(520)568-2432,1980-01-29,google_pay,bronze
77,rossmaurice@example.org,Angela,Mitchell,2024-10-11,4887.8,0.3,"652 Davis Parkways Suite 370, Port Patrickview, KS 70108",,2000-03-22,paypal,silver
78,john19@example.net,Anthony,White,2024-05-17,3995.0,0.1,"Unit 5507 Box 8688, DPO AP 59041",001-880-642-5542x80537,1978-09-18,paypal,silver
79,garywright@example.org,Ian,Hawkins,2023-11-16,4612.97,0.24,"14249 Robles Extensions Apt. 796, Kevinchester, AL 31231",901.995.8663x9928,1956-09-08,bank_transfer,gold
80,smithchristian@example.org,Kimberly,Kelly,2023-06-07,1311.14,0.21,"4541 Hill Parks Apt. 104, Perrymouth, MD 85728",(487)245-1202,1991-01-08,apple_pay,silver
81,kking@example.org,Charles,Figueroa,2024-03-25,1125.26,0.07,"723 Raymond Station Apt. 601, Matthewberg, IN 18140",560.278.5483,1969-09-14,apple_pay,silver
82,oliversteven@example.org,Karen,Richards,2025-06-02,1502.62,0.83,"82852 Jeremy Drive, Wilkinsonview, OK 85362",(701)396-7972x092,1998-01-12,bank_transfer,bronze
83,coopertami@example.net,Gregory,Delgado,2024-06-06,2674.83,0.17,"1424 Serrano Prairie Suite 262, Carolynhaven, ND 31661",(251)916-3971x492,1988-02-01,google_pay,silver
84,pluna@example.net,Kenneth,Carter,2025-04-28,3283.71,0.1,"7156 Walker Path Apt. 299, Port Lindaview, ND 85340",(977)424-4343x54978,1945-08-08,apple_pay,bronze
85,owoodward@example.org,Jeffrey,Casey,2024-02-29,44991.9,0.06,"91657 Timothy Crossroad Suite 266, East Michael, PA 20658",,2002-07-23,bank_transfer,platinum
86,robbinsjoseph@example.net,Traci,Nelson,2023-11-18,2278.08,0.14,"7569 Natasha Roads, New Josephbury, IL 43749",4154273117,1982-11-25,apple_pay,gold
87,ericryan@example.org,Richard,Hancock,2025-01-07,2391.0,0.15,"365 Brad Flats Apt. 990, Lake Teresaton, NE 39903",001-859-466-7715x39022,1997-06-29,paypal,silver
88,dustin87@example.org,Haley,Thompson,2024-09-15,1401.56,0.07,"4939 Kevin Fort Suite 904, Melissashire, VI 24516",001-455-240-4231x6979,1994-04-07,credit_card,bronze
89,matthewgonzalez@example.net,Eric,Allen,2024-05-10,3950.78,0.28,"4122 Chang Glen, Lake Ashleystad, ID 94162",533-207-3453,1996-01-05,bank_transfer,bronze
90,ruth60@example.org,David,Hall,2023-06-17,13849.08,0.04,"042 Paula Viaduct Suite 564, North Brittneyburgh, MN 49294",725.910.7155,1998-05-04,paypal,platinum
91,pughkelli@example.org,Robert,Bruce,2025-01-07,3557.65,0.3,"57557 Patricia Lock Suite 328, West Robert, AK 56938",001-613-350-5349,1952-01-01,bank_transfer,gold
92,patricia63@example.com,Sabrina,Hubbard,2023-07-27,1481.04,0.14,"569 Murray Club Suite 336, New Bobbyshire, AZ 14827",(400)276-1504,1947-03-15,credit_card,silver
93,atkinsonjessica@example.net,Brittany,Cook,2024-04-02,2412.82,0.18,"163 Rickey Pass Suite 851, Sarahton, MI 82776",578288 8189,1946-08-21,paypal,bronze
94,omarthompson@example.org,Vanessa,Watson,2024-03-21,2424.75,0.18,"56407 Jessica Station Apt. 830, Munozhaven, WV 78936",9724720814,1981-03-18,credit_card,gold
95,tiffany98@example.org,Jason,Frederick,2024-09-13,1634.07,0.1,"1164 Jordan Keys Suite 634, Port Christopher, AR 82528",(971)746-7490x66886,1985-09-26,credit_card,gold
96,taylorallison@example.com,Kelly,Morris,2023-06-14,1936.03,0.19,"1548 Nunez Bridge, East Joseton, DC 49646",(953)337-7730x31678,2004-08-08,bank_transfer,bronze
97,kenneth08@example.net,Christina,Montgomery,2024-09-25,1765.13,0.15,"3034 Alicia Trail, North Anthonyland, LA 29782",001-909-498-3976x7388,1964-02-18,bank_transfer,gold
98,vasquezterri@example.com,Justin,Watson,2025-06-02,0,0.86,"89622 Moore Tunnel Suite 600, East John, DC 29920",479-996-5466,2000-11-27,paypal,none
99,gcastaneda@example.org,Thomas,Carr,2024-11-26,4888.49,0.3,"81239 Tony Plaza Suite 479, New Angelaborough, MT 11366",(715)389-0418x280,1964-12-25,apple_pay,gold
100,kevin20@example.org,Brenda,Martinez,2025-01-28,4902.84,0.1,"1450 Sherry Villages, New Anthonyberg, MS 89504",(348)524-8863,1968-05-26,bank_transfer,silver
101,munozjohn@example.net,Zachary,Rodriguez,2023-12-12,2890.62,0.16,"924 Ortiz Plaza Apt. 410, West Christian, CO 26453",(406)710-4718x91199,1992-01-09,credit_card,silver
102,collinsstacy@example.com,Michael,Smith,2025-02-18,4149.73,0.2,"PSC 3251, Box 7904, APO AA 59540",,1946-11-07,bank_transfer,bronze
103,romanraven@example.com,Thomas,Adams,2024-11-27,1108.87,0.12,"310 Dan Valleys Suite 645, Martinezberg, NH 43508",,1986-02-01,paypal,gold
104,anthony37@example.com,Randy,Miller,2023-07-12,1701.18,0.28,"26410 Smith Expressway Suite 753, Lake Debbieton, MI 64583",599-898-7093x391,2002-09-21,apple_pay,silver
105,johnsonamanda@example.com,Adam,Jones,2025-02-02,3741.4,0.15,"9486 Hicks Path Apt. 703, Mortontown, AR 60269",+1-254-661-2536x0640,1994-09-09,apple_pay,bronze
106,desireeedwards@example.com,Brittany,West,2024-05-22,878.03,0.19,"Unit 4902 Box 1444, DPO AE 47250",+1-833-207-8111x719,1965-06-22,bank_transfer,silver
107,elizabethstone@example.net,Jay,Bradley,2023-11-16,1088.34,0.3,"00499 Paul Lodge Suite 361, Hollandmouth, IA 14101",001-265-552-3917,2007-01-26,google_pay,silver
108,jbenson@example.com,Monique,Summers,2025-06-02,657.78,0.8,"49317 Alexander Bypass, Smithstad, OH 84529",972.338.5865x39276,1950-10-20,bank_transfer,bronze
109,davidlove@example.com,John,Stanley,2024-05-05,3266.87,0.28,"897 Craig Hill, Michaeltown, PR 30749",(650)869-8935,1982-03-05,google_pay,silver
110,ramseyvalerie@example.com,Julie,Sims,2024-05-15,4134.81,0.26,"01561 Jones Prairie, Leeview, WY 33580",001 292 255 2905x0926,2005-05-26,apple_pay,silver
111,foleyaaron@example.net,Jenny,Jones,2023-08-01,1984.86,0.21,"04481 Rhodes Mountain, Lake Victoria, PR 48054",001-988-423-8469x9086,2005-06-29,paypal,gold
112,bartonalyssa@example.org,Melanie,Hamilton,2025-06-02,0,0.97,"23641 Lawson Manors, West Robin, RI 77971",(906)831-8641,1948-08-02,credit_card,none
113,dylanharrington@example.net,Jonathan,Sutton,2023-06-13,3520.42,0.23,"9499 Singleton Expressway, West Jackson, RI 54826",993-325-2826,1992-05-26,credit_card,bronze
114,laurieburgess@example.com,Jennifer,Adams,2023-12-23,4977.05,0.07,"55590 Hale Expressway Suite 879, East Sandrashire, CT 90691",001-286-781-1143x30640,1953-12-29,paypal,bronze
115,taylorwilson@example.org,Caleb,Leonard,2025-06-02,0,0.85,"3793 Davila Walk Suite 519, West Jennifer, KY 89916",001-466-703-2358x4180,1949-10-18,apple_pay,none
116,tsmith@example.net,Antonio,Gould,2025-06-02,762.31,0.86,"7611 Michael Point Suite 233, Port Alexiston, MN 52657",,2004-08-30,paypal,none
117,courtneygamble@example.net,Adam,Williamson,2024-07-07,19719.97,0.08,"21078 Christopher Roads Suite 365, Amyberg, HI 00850",,1974-02-25,apple_pay,platinum
118,devin74@example.net,Susan,Dyer,2025-02-08,787.25,0.26,"9636 Jones Road, Michaelland, TX 93480",,1945-08-25,bank_transfer,bronze
119,montgomeryhaley@example.com,Tina,Saunders,2023-06-26,708.34,0.24,"83034 Natalie Route, Jamesmouth, MA 27332",001-422-462-3003x607,1980-08-08,paypal,bronze
120,lindaniel@example.com,Anthony,Murphy,2023-09-14,2259.22,0.09,"4410 Garcia Lock Suite 970, Lake Amyport, WY 96757",001-563-516-6968x740,1965-04-16,credit_card,gold
121,jrussell@example.net,Cynthia,Young,2025-06-02,1673.0,0.88,"52552 Heather Dale, West Wesleyside, ID 60273",828809241150509,1985-03-28,credit_card,none
122,blevinsmelissa@example.com,William,Mann,2025-04-05,338.46,0.14,"77888 Richard Forges Apt. 748, East Andrewstad, AS 70447",762.753.9501x1152,2000-07-18,credit_card,bronze
123,copelandryan@example.com,Teresa,Ramos,2024-08-08,178.59,0.06,"675 Crawford Rest Apt. 137, North Jeanne, WV 43932",(429)235-5459,1973-11-20,paypal,bronze
124,millerpaul@example.net,Becky,Black,2023-12-02,4797.85,0.07,"8960 Rose Flat, Stephenland, DC 88531",0014583970152,1976-05-25,credit_card,gold
125,adrianmcneil@example.com,William,Garcia,2024-04-09,41703.1,0.04,"38788 Khan Drive, Jessicaside, VI 81080",361-713-9979x927,1976-09-06,apple_pay,gold
126,kimberly97@example.com,Gabriella,Day,2024-12-18,691.94,0.1,"900 Young Radial, Christinaport, WY 36767",,1964-02-12,credit_card,silver
127,joshua07@example.com,Stephanie,Walsh,2023-12-04,2007.01,0.16,"Unit 1604 Box 3598, DPO AE 80615",001-926-726-5434,1976-11-28,credit_card,bronze
128,murraycatherine@example.net,Gina,Heath,2025-02-21,429.92,0.1,"Unit 0730 Box 7177, DPO AA 12811",(658)557.8375x68167,1999-11-14,google_pay,silver
129,mayaaron@example.net,Frances,Long,2024-01-19,3977.17,0.28,"9995 Stephanie Isle, Lake Jacobland, WV 18620",+1-736-692-2338,2002-12-28,apple_pay,gold
130,syoung@example.net,James,Mccann,2023-10-23,3421.71,0.29,"46950 Jennifer Island Suite 570, North Blake, DE 62139",001-451-549-7249x032,1960-04-06,bank_transfer,gold
131,anne76@example.org,Lisa,Peterson,2023-12-13,4892.31,0.22,"28305 Phillips Manor, Johntown, KS 49125",001-921-889-3912x70650,1967-09-18,apple_pay,bronze
132,taralewis@example.com,Stacy,Rhodes,2024-02-01,2604.03,0.24,"08236 Le Viaduct Apt. 690, Lake Isaiah, AR 74456",(207)677-8943x32763,1972-05-26,google_pay,gold
133,cmejia@example.com,Daniel,Horn,2024-03-21,3818.81,0.08,"16218 Gina Throughway Apt. 919, New Samantha, WY 85540",+1-670-215-1200x3934,1982-10-24,credit_card,bronze
134,lmiller@example.com,Edward,Steele,2023-11-13,774.02,0.17,"4985 Moss Plain, Mccormickside, FL 08645",6084228377,1969-08-20,google_pay,bronze
135,choitina@example.org,Troy,Escobar,2024-06-15,4943.9,0.16,"064 Moore Road Suite 525, Robinsonside, NH 91579",+1998804466589524,1960-03-17,credit_card,silver
136,ssmith@example.net,Aaron,Gonzalez,2023-12-10,2652.28,0.29,"8092 Patricia Spur, Lake Dawnfurt, KS 16167",+1-946-457-7706x129,1971-12-26,bank_transfer,gold
137,yjohnson@example.net,Cassandra,Rowland,2024-05-27,1779.37,0.1,"24285 Tonya Spring, Christopherfurt, WY 02861",001-768-380-3166x479,1949-10-04,paypal,bronze
138,angela87@example.org,Rhonda,Gutierrez,2024-07-13,3079.51,0.15,"4043 Roger Plaza, Jessicafurt, NV 92171",001-917-308-6715x207,1953-12-22,apple_pay,silver
139,terri10@example.net,Nina,Diaz,2024-10-03,442.93,0.1,"4972 Jacqueline River, North Christopher, TX 23064",4072017850,1983-06-27,paypal,gold
140,dadams@example.net,Juan,Sullivan,2024-08-31,3003.89,0.26,"396 Larson Summit Suite 442, Edwardview, TN 85494",,1954-11-12,bank_transfer,bronze
141,scottwilliams@example.net,Austin,Brown,2023-08-24,904.38,0.1,"85571 Turner Shoals Apt. 584, Blackland, KY 36266",(913)837-9376x699,1981-06-24,apple_pay,silver
142,wesley24@example.net,Elizabeth,Acosta,2025-06-02,0,0.98,"52791 Rachel Course Apt. 851, Robertchester, MH 67567",8575445099,1982-10-30,bank_transfer,none
143,charleskelly@example.net,Thomas,Vega,2024-08-11,2051.4,0.09,"205 Phillips Views Apt. 987, Lake Chelsealand, PR 99944",(618)430-7348x00226,1995-02-04,paypal,silver
144,sean60@example.com,Sherri,Patterson,2024-03-30,41882.17,0.08,"2758 Lindsey Key, New Marilyn, HI 56052",(493)371-7847,1972-07-08,bank_transfer,gold
145,ilawrence@example.net,Vanessa,Perkins,2025-04-04,3016.4,0.09,"936 Hayley Rapids, Whitemouth, MA 87465",675.244.5847x413,2006-11-08,bank_transfer,gold
146,zacharyjohnson@example.org,John,Brown,2023-12-03,1938.22,0.2,"23070 Rogers Glen Apt. 531, Johnsonberg, NV 83818",784-847-9365x611,2002-08-14,paypal,bronze
147,lindseymcintyre@example.net,Mark,Morales,2024-12-05,5188.12,0.09,"8287 Rebecca Mall, West Heidiport, MI 82104",001-471-386-2447x56311,1998-09-17,bank_transfer,platinum
148,snguyen@example.org,Gary,Jensen,2023-11-19,1981.78,0.13,"9984 Amanda Estate Suite 705, North John, TN 29365",202.788.2521x28866,1997-04-28,credit_card,gold
149,udavis@example.org,Jacqueline,Strickland,2024-07-12,1985.65,0.19,"USCGC Gardner, FPO AE 56531",420.936.6864,2003-12-09,bank_transfer,bronze
150,allisonrodgers@example.org,Cynthia,Li,2023-10-16,2597.08,0.17,"87783 Kim Common, South Hunterside, IN 29581",,1961-03-05,apple_pay,gold
151,timothy56@example.org,Rebekah,Boyd,2024-12-04,3704.75,0.11,"02732 Andrea Via Suite 042, Bobbyberg, MA 45351",727.770.0453,1965-09-12,credit_card,bronze
152,tinaflynn@example.com,Frank,Stephens,2025-06-02,1394.94,0.83,"86569 Kenneth Harbors Suite 673, East Jennifer, RI 09748",+1-604-811-6788x1596,2005-03-16,paypal,bronze
153,suspicious153@temp-mail.com,Amanda,Hardin,2023-05-30,32096.72,0.1,"123 Fake St, Nowhere, XX 00000",+1-555-FAKE,2000-01-01,apple_pay,gold
154,hopkinsrodney@example.org,Michele,Sanchez,2025-06-02,0,0.93,"9942 Hill Oval Suite 089, Jamieland, DC 94664",,1947-05-25,apple_pay,none
155,allensierra@example.com,Shannon,Martin,2024-06-10,912.54,0.16,"80153 Stephen Villages, West Richard, AK 17448",262-783-3568,1984-06-24,apple_pay,gold
156,boltonsara@example.com,Jocelyn,Bates,2024-09-19,31373.59,0.08,"3629 Scott Hills Suite 418, New Michael, GA 90898",+1-769-757-9457x595,1964-02-19,paypal,gold
157,dunlappatricia@example.net,James,Clarke,2025-06-02,538.04,0.67,"65119 Christopher Village, Travisport, MD 20022",,1948-03-15,apple_pay,bronze
158,wmccoy@example.net,Michael,Rivas,2024-09-30,107.74,0.07,"0293 Hall Row Apt. 941, Port Jennifer, GU 72810",+14733088240353,2001-03-12,apple_pay,gold
